episode,episode_reward,episode_steps,success,collision,min_obstacle_distance,final_distance,q1_loss,q2_loss,policy_loss,alpha_loss,alpha,mean_log_prob,total_steps
68,44.41442384063295,600,0,0,1.262288594530191,9.089178634033534,28.131719953219097,26.810606823762257,351.39321146647137,-0.10147290990998348,0.09320937832196553,2.957009801864624,38422
69,41.514990074900716,600,0,0,2.9921312424849162,9.34693609328589,28.060868535836537,27.041052509148916,346.25615732828777,-0.17369425320997833,0.0902816376214226,2.9275368328889213,39022
70,45.95504757617401,600,0,0,1.485196533150794,8.964522465292765,28.895939869880678,27.449003999233245,338.941503499349,0.0020839124855895836,0.08923537990699212,3.000812337398529,39622
71,48.59038164517372,600,0,0,2.6497387575701454,8.840825770934682,27.715729166666666,26.610790487130483,333.77959299723307,-0.015644428301602602,0.08768148685495059,2.9934308063983917,40222
72,-48.142423969405,600,0,0,0.4238373899311395,8.971733762833962,29.78478385368983,27.262434185345967,325.242146097819,0.03947911271204551,0.08835597688953081,3.0162049702803295,40822
73,39.3189046935373,600,0,0,2.3334333618176517,9.493266016004863,28.22826429526011,25.78619162082672,321.0361695098877,-0.021627938188612462,0.08880791414529085,2.9910017271836598,41422
74,44.50391980565304,600,0,0,1.1544066146121716,9.11028804638893,29.074932080109914,27.213909633159638,314.38171096801756,-0.09819425463055571,0.08831621951113144,2.9596059010426203,42022
75,42.74496640239633,600,0,0,2.738560958254096,9.210348981803078,27.43056257565816,26.33063316980998,307.85706077575685,-0.09813839096575976,0.08506554126739502,2.960017337401708,42622
76,-3113.0536728391576,600,0,0,0.02868162245318917,7.51004965111805,30.561741694609324,29.158873270352682,306.0567047627767,-0.07249289646744728,0.08343314008166393,2.9706700285275778,43222
77,41.04456267094596,600,0,0,0.923890617603773,9.426001112279137,35.759083183606464,33.05472225666046,300.4390829467773,-0.08020729274488986,0.08167716436088085,2.967834402322769,43822
78,-558.6074807759629,600,0,0,0.1416341765993041,8.799353607187925,33.391330626805626,32.01687554915746,296.652187093099,-0.10903595448782047,0.0805916221315662,2.956661898692449,44422
79,-282.4947223857076,600,0,0,0.06938821478467361,9.254542035531044,39.322011133829754,37.60558795293172,294.06943600972494,-0.2983267972866694,0.07664508953690528,2.883719647526741,45022
80,40.34597906349997,600,0,0,0.5577088484550607,9.195516677564363,40.15801166534424,38.52856148322423,289.55009353637695,-0.1405976507999003,0.07340977823982636,2.946136626601219,45622
81,45.75149555477594,600,0,0,2.5611501344161143,9.017781430262293,41.60573350906372,40.020929319063825,287.3645657602946,-0.26306430392588176,0.0695538301517566,2.9008266576131185,46222
82,55.580816711438814,600,0,0,1.025690849643131,8.432805993504214,42.74795334815979,40.80189417997996,280.28038902282714,-0.24071211297685902,0.0665465792392691,2.910867606004079,46822
83,51.12198696271173,600,0,0,1.9237853003429652,8.691266042468042,42.040727186203,40.57636016448339,275.98586776733396,-0.16552155053863923,0.06389133588721355,2.9394074408213298,47422
84,45.53779266377011,600,0,0,0.9452879683898784,9.10858868466644,41.989864497184755,40.41646438916524,272.4203721364339,-0.058478449042886495,0.06356352228671312,2.978734047015508,48022
85,-349.16607926218836,600,0,0,0.12283293994529676,9.069771934750156,45.599230580329895,42.880163372357686,270.3958716583252,-0.050355765819549564,0.0628357356414199,2.981702803572019,48622
86,40.80354970653214,600,0,0,2.9163542377992053,9.31965785567467,44.20596566518148,43.66760563055674,262.8810284932454,-0.11703601978719234,0.061948854165772595,2.95784800251325,49222
87,49.75483644654006,600,0,0,1.0761601219931367,8.764662003920014,46.975050264199574,44.340522085825604,263.25364031473794,-0.32955478205656014,0.05927401006842653,2.883257349332174,49822
88,43.05649684745709,600,0,0,0.7220321459831791,9.172943353476036,41.98326764583587,40.58279964605967,258.678773244222,-0.2885745944082737,0.056422327191879354,2.89952488442262,50422
89,-774.1179544285364,600,0,0,2.767990065849761,8.127782627700205,47.16367123524348,45.32104917685191,255.05767105102538,-0.09364806802012027,0.05470710727075736,2.967647137840589,51022
90,73.76990823444275,600,0,0,1.9342385888860913,7.217445628165265,42.98967575232188,41.70594720522563,249.24371892293294,-0.10030563250184059,0.05377593394368887,2.9656274537245433,51622
91,-283.2087896693347,98,0,1,-0.011303966243778718,8.718882198089197,50.450809624730326,48.0445917479846,245.22795790068957,-0.08590402568177301,0.053152410503552884,2.970692413193839,51720
92,42.559686131651645,600,0,0,1.685917995322379,9.280235216145996,48.163397425015766,47.04581830024719,245.86081415812174,0.1365514778656264,0.05433759084592263,3.046554118792216,52320
93,76.36319741000264,600,0,0,1.909870947552551,6.966279228915474,44.66111260732015,44.121212224165596,244.85040102640787,0.10544974607415497,0.0552762348515292,3.0362059462070463,52920
94,42.67435075071202,600,0,0,0.6522196012604435,9.287701361699108,43.41019518693288,42.14562649329503,241.3731880950928,0.10534649292007088,0.055859215874224905,3.036353778441747,53520
95,16.35904314036906,600,0,0,1.2155458447759782,9.431965537487148,42.44073864221573,43.612655930519104,238.5931379699707,0.1711482251745959,0.05816489927470684,3.059389077226321,54120
96,36.80628620248768,600,0,0,1.9109005054812787,9.684260607203322,43.322994888623555,43.06131201505661,235.2381844329834,-0.0017292094479004541,0.05802267052233219,2.9992861807346345,54720
97,53.48219470938798,600,0,0,0.8198599276848559,8.622043166677523,43.4385670042038,42.76050281047821,232.52938621520997,-0.13503935639436046,0.057103797122836114,2.9525754461685816,55320
98,-874.059198472522,600,0,0,0.362890812125918,8.737522137081797,42.2045937538147,41.96155991792679,229.29511591593425,-0.2640653592099746,0.055408087664594256,2.90843917687734,55920
99,5.377040520486126,600,0,0,0.5798246739374426,9.139199911202033,43.26568515777588,43.38161258618037,229.51313125610352,0.31757676643008986,0.05606880102927486,3.1099922347068785,56520
100,56.855323764675056,600,0,0,1.0841943941630514,8.278489031162264,41.183526981671655,40.68591390212377,226.30796574910482,0.06196901792660356,0.057543712202459574,3.021549857854843,57120
101,59.85785410131872,600,0,0,1.9487485752688565,8.143912954923879,38.05550091346105,37.596537750562035,223.63911422729493,-0.1519442671723664,0.05722837283586462,2.9467274771134058,57720
102,46.60193856387961,600,0,0,1.108862357895656,8.965890356610789,42.49249484539032,41.24272435267766,221.20378712972004,0.21645962021003168,0.05740206747626265,3.0756684116522472,58320
103,-515.0200989233985,244,0,1,-0.023369264018376468,8.709267799138331,41.968737559240374,39.74671263968358,219.3524362532819,-0.08770451221431864,0.05833356932843806,2.9690314785378877,58564
104,-299.7942210619894,600,0,0,0.04425620849533529,7.604705665453806,46.51094335873922,42.138068337440494,217.28898005167642,-0.09228490526477495,0.057697846548010905,2.967495345870654,59164
105,53.82765246273438,600,0,0,2.286524035768556,8.521196247511638,45.59819538116455,43.00589794874191,217.18415789286294,-0.28099753564223645,0.05653795313710968,2.9022454343239468,59764
106,-183.67101547181738,600,0,0,0.2012157323666952,7.907366439085816,45.68780355612437,41.40488569100698,211.87539927164713,0.15324156098688643,0.05569469061369697,3.052933163642883,60364
107,35.428764885489926,600,0,0,2.8780233382645224,9.699022485117599,39.988893955548605,38.13117701689402,210.04347877502443,0.45100574103494484,0.05834235494956374,3.1586189381281535,60964
108,-71.631082373633,600,0,0,0.21900526316166924,9.127064277554034,43.90145258267721,39.96348498662313,206.58057698567708,0.25369468885784346,0.06216484131291509,3.0910029780864714,61564
109,-267.0245926986178,600,0,0,0.16036905145437175,8.480246249435263,40.8986462132136,39.176195388635,203.88785158793132,0.07935910767565171,0.06312651824206114,3.0286621920267742,62164
110,-283.83269760856507,600,0,0,0.3107347036021244,9.487846477102392,40.88284734725952,40.18190833727519,203.0967763010661,0.12995446799012522,0.06522669979681571,3.0472746437788008,62764
111,-282.39385658409486,600,0,0,1.2542344292941425,8.92145286865747,40.933908211390175,40.08615348339081,199.5549077097575,0.022205942167590063,0.06533807076513767,3.0080174805720645,63364
112,26.545831653176904,600,0,0,0.5958545525014307,9.647566649853461,42.27819600264231,41.134906554222106,196.02306734720867,-0.17129210129069786,0.06506494779139757,2.9372603531678516,63964
113,-5.025749385592924,600,0,0,0.4523578413970838,8.21298117669295,41.323859768708544,41.96218050638834,194.56770627339682,-0.3472671194653958,0.062399805256476,2.874961686929067,64564
114,47.20806057028647,600,0,0,0.708931047561701,8.967203804824642,40.855000820159916,38.69941087881724,192.98714953104655,-0.25469626795500516,0.05850175102551778,2.9098659229278563,65164
115,45.579550021509064,600,0,0,2.3108343514630247,8.999184558053999,39.35788585821788,39.47488974094391,188.4601323191325,-0.020098713853706915,0.05765147545064489,2.9928598749637603,65764
116,74.2853111760262,600,0,0,1.0481002773711774,7.1221114347271754,42.20406268119812,41.46436736345291,188.29167249043783,0.17909258387361965,0.0569263212569058,3.062439242998759,66364
117,43.59268047742584,600,0,0,1.2455038112951937,9.214934784432494,37.73951324303945,37.03248023509979,186.27920012156167,-0.5957564710453153,0.05658306701729695,2.792410452564557,66964
118,43.90268583948084,600,0,0,3.3312491856353463,9.155929252387924,36.426336698532104,36.24143605391185,184.01256708780923,-0.4269846859822671,0.05359007965773344,2.8545275890827178,67564
119,8.577408520339013,600,0,0,1.5834000592536825,9.071544600057798,35.13400281826655,33.71752109686533,183.213224029541,-0.2271960140019655,0.05069069943701227,2.9237294761339823,68164
120,-76.60375382220724,600,0,0,2.6936207257396423,9.47592384304844,37.014764858881634,35.86855860710144,178.31259508768719,-0.07734282936279972,0.04970471387729049,2.974206055402756,68764
121,-2.5540494192117507,600,0,0,0.5061795009160854,9.4068172102554,32.910750924746196,31.95583006540934,177.9784203592936,-0.13234363555908202,0.04843286067868272,2.9560908611615497,69364
122,-66.60228241243642,600,0,0,0.43912191669369594,7.407233851759785,34.40996036291122,34.124656291007994,175.77926052093505,-0.3194892840087414,0.046692279397199554,2.8953527355194093,69964
123,39.66418173447101,600,0,0,1.6193646608442793,9.209767576141552,31.49714249451955,30.9456511982282,175.70821257273357,-0.01881171832171579,0.04489488782982032,2.9937756754954656,70564
124,90.2378503784277,600,0,0,0.8110968901634246,6.062609357528698,33.05847964684168,32.18358379681905,172.70875354766846,0.10934411018465956,0.04594971779733896,3.035358124176661,71164
125,0.009305395648968151,600,0,0,1.1046658749274914,8.777318097292918,30.738569482167563,29.748789646625518,170.4398443476359,-0.0905786203717192,0.04578068120405078,2.970433427095413,71764
126,-900.9304446742855,600,0,0,2.1241872396415507,9.478731951787617,30.57658622821172,30.37992916584015,168.99496575673422,0.15553574940810602,0.046428147616485754,3.0505494797229766,72364
127,-1683.1368451819724,600,0,0,1.3683553933650092,9.32042243761357,30.939450743198396,29.457363776365916,167.98148362477622,-0.11252762792631983,0.04686221530660987,2.9631942411263785,72964
128,-31.214199182675507,600,0,0,1.1405791373068692,9.484075905452396,30.227132562001547,30.072507753372193,165.6603672663371,0.02688265036791563,0.045778104619433484,3.0086513886849087,73564
129,-1213.4152988420904,600,0,0,0.15198939355727814,11.123820332821905,30.993847703933717,30.62861570676168,165.4697341664632,-0.09147231015066305,0.04603631808732947,2.9701134632031123,74164
130,39.77925017616117,600,0,0,1.1702359122935113,9.470964027034128,29.67756134192149,29.298224824269614,165.28606722513834,-0.1366065874323249,0.045496999931832156,2.9557087630033494,74764
131,44.44620663952303,600,0,0,0.9801311183312744,9.072093739547885,29.52264559586843,28.43913728793462,163.41264712015789,-0.2766636845531563,0.043549891399840515,2.9111668054262796,75364
132,-98.88799990023892,600,0,0,0.9419360133216483,10.007009615291034,27.3809188469251,27.17608362197876,160.54321949005126,-0.0009153630957007408,0.043175938439865905,2.999647568265597,75964
133,12.253450326871262,600,0,0,0.46123153773630016,9.022145247820298,29.21869824250539,29.075117621421814,160.13767676035562,0.03417762458945314,0.04347824932386478,3.0107876495520274,76564
134,6.5637119891088345,600,0,0,1.115190160645365,10.17415590246014,29.312859784762065,29.368109918435415,159.24928886413574,0.22681993121902147,0.0438804205134511,3.072625435590744,77164
135,33.16451733849419,600,0,0,3.1052671073883156,9.82787975409833,27.48053151766459,27.899583365122478,158.3280366007487,-0.26913937070717414,0.04422362688928842,2.9136707576115928,77764
136,30.81188085142165,600,0,0,0.9353857272380699,10.096762347847553,25.736743636131287,25.199728473027548,156.86446065266927,-0.022175298395256202,0.04346063564841946,2.9928806857268015,78364
137,31.632216172194973,600,0,0,2.0303917868235937,9.819203948434495,28.38350832382838,27.484862949053447,155.03571628570558,-0.020332708942393463,0.04263419933617115,2.993392238418261,78964
138,26.08290573577314,600,0,0,1.1801701733965515,10.297385025033462,27.05450456937154,26.142514595190683,156.88000661214193,0.2543669270289441,0.043627306055277586,3.0811565550168356,79564
